ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1338	45	1	0	0.000000	1.177778	1.177778	0.000000	0.000000	0	0	0
1339	30	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1340	5	1	2	0.000000	3.200000	3.200000	0.000000	0.000000	0	0	0
1341	1	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1342	1	3	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1343	36	1	1	0.000000	1.861111	1.861111	0.000000	0.000000	0	0	0
1344	168	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1345	1	1	3	0.000000	104.000000	49.000000	0.000000	0.000000	0	0	0
1346	0	1	2	Inf	Inf	Inf	Inf	Inf	0	0	0
1347	2	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
1348	1	1	1	0.000000	13.000000	11.000000	0.000000	0.000000	0	0	0
1349	1	2	2	0.000000	14.000000	12.000000	0.000000	0.000000	0	0	0
1350	2	1	1	0.000000	12.000000	10.000000	0.000000	0.000000	0	0	0
1351	6	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1352	22	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1353	24	5	3	0.000000	4.291667	1.666667	0.000000	0.000000	0	0	0
1354	117	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1355	58	2	0	0.000000	1.517241	1.517241	0.000000	0.000000	0	0	0
1356	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1357	51	0	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1358	6	2	2	0.000000	15.333333	13.666667	0.000000	0.000000	0	0	0
1359	6	2	2	0.000000	15.500000	14.166667	0.000000	0.000000	0	0	0
1360	5	1	1	0.000000	14.000000	6.000000	0.000000	0.000000	0	0	0
1361	7	1	2	0.000000	14.285714	2.285714	0.000000	0.000000	0	0	0
1362	4	1	2	0.000000	15.250000	2.250000	0.000000	0.000000	0	0	0
1363	1	3	2	0.000000	17.000000	4.000000	0.000000	0.000000	0	0	0
1364	4	1	1	0.000000	5.750000	3.000000	0.000000	0.000000	0	0	0
1365	2	2	2	0.000000	6.500000	4.000000	0.000000	0.000000	0	0	0
1366	7	2	1	0.000000	6.000000	3.000000	0.000000	0.000000	0	0	0
1367	144	0	0	0.000000	1.805556	1.805556	0.000000	0.000000	0	0	0
1368	255	0	0	0.000000	1.529412	1.529412	0.000000	0.000000	0	0	0
1369	130	0	0	0.000000	1.753846	1.753846	0.000000	0.000000	0	0	0
1370	96	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1371	53	1	1	0.000000	1.226415	1.226415	0.000000	0.000000	0	0	0
1372	27	1	1	0.000000	1.037037	1.037037	0.000000	0.000000	0	0	0
1373	60	1	2	0.000000	1.200000	1.200000	0.000000	0.000000	0	0	0
1374	8	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1375	38	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1376	67	0	2	0.000000	1.865672	1.552239	0.000000	0.000000	0	0	0
1377	81	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1378	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1379	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1380	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1381	2	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1382	1	4	2	0.000000	34.000000	13.000000	0.000000	0.000000	0	0	0
1383	1	3	1	0.000000	25.000000	6.000000	0.000000	0.000000	0	0	0
1384	1	2	1	0.000000	28.000000	4.000000	0.000000	0.000000	0	0	0
1385	1	2	1	0.000000	67.000000	14.000000	0.000000	0.000000	0	0	0
1386	1	2	7	0.000000	74.000000	14.000000	0.000000	0.000000	0	0	0
1387	1	3	3	0.000000	77.000000	15.000000	0.000000	0.000000	0	0	0
1388	1	2	1	0.000000	78.000000	13.000000	0.000000	0.000000	0	0	0
1389	1	2	2	0.000000	77.000000	14.000000	0.000000	0.000000	0	0	0
1390	1	2	3	0.000000	79.000000	16.000000	0.000000	0.000000	0	0	0
1391	1	4	2	0.000000	75.000000	15.000000	0.000000	0.000000	0	0	0
1392	2	2	1	0.000000	69.500000	11.500000	0.000000	0.000000	0	0	0
1393	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1394	2	1	2	0.000000	4.000000	3.000000	0.000000	0.000000	0	0	0
1395	2	2	2	0.000000	5.000000	3.500000	0.000000	0.000000	0	0	0
1396	10	1	1	0.000000	3.000000	1.000000	0.000000	0.000000	0	0	0
1397	2	1	3	0.000000	4.500000	2.000000	0.000000	0.000000	0	0	0
