"MCL1.DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1.DH_BC2CTUACXX_CAGATC_L002_R1","MCL1.DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1.DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1.DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1.DL_BC2CTUACXX_ATCACG_L002_R1","MCL1.LA_BC2CTUACXX_GATCAG_L001_R1","MCL1.LB_BC2CTUACXX_TGACCA_L001_R1","MCL1.LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1.LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1.LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1.LF_BC2CTUACXX_CTTGTA_L001_R1"
-0.392486993542177,-1.1989627664058,-0.975953724460138,-1.53316507740257,-1.4316030550626,-1.70237428484685,-1.59989703310192,-1.77588728156927,-1.30669100124079,-1.64673305602046,-1.93895788262566,-2
-0.86057295958946,-0.441531033114723,-0.362162559419209,-0.529969960759137,-0.189163361000112,-0.243963529141504,-1.19089147451351,-1.21228630190191,-1.52070773365683,-1.58039336625751,-2,-2
4.73513023727046,4.91221617403037,5.48026962293413,5.1466330014648,5.23370026137509,5.12327626041074,4.895510842376,4.92692207799957,3.241013138813,3.02462594415016,2.73023080244122,2.78651562797666
5.24770601868572,5.56722158291565,5.57913052529152,5.68537610060204,5.23513764331617,4.9792144637457,6.19433095810275,6.59874580625457,7.06018904536586,5.81315661462229,6.33681360660163,6.87207228648023
2.50958508322464,2.29255660896102,2.77035821847512,2.71047913935281,3.48213898714039,3.33886262438052,3.91488116022395,4.01145309604556,3.48333621359854,3.26980444029135,3.28941839634717,3.38492417830839
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1.1439460709261,-1.47933953016814
-2,-1.59043194234698,-1.44545863087403,-2,-2,-1.29836438768314,-1.54757059702806,-0.765223842957702,-1.61346402354421,-2,-1.00692910289802,-0.82803428676581
2.70795558892153,2.29917210704072,2.3489182402951,2.67676967113286,3.11964878529021,3.73901686656807,-1.87602180516958,-1.72369753453348,-1.86649828761995,-1.8782703961546,-2,-1.8696004363736
-0.864516072183296,-1.4596320483131,-1.55042710927861,-1.69193938372241,-1.57792153206717,-1.7711113761521,1.67628723580941,1.45833583017904,1.40804485940438,0.300285366963351,-1.70982551076719,-1.49317782434365
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-1.63463173972085,-2,-2,-1.89771772880453,-2,-1.94550851255059,-1.92281578581865,-2,-2,-2,-2,-2
4.14264217743204,3.80859926362943,3.3593962831804,3.23832590312705,3.37040376595222,2.87384756890971,2.79601141440547,3.33296642609896,2.81333858722373,2.99382004285368,3.2391548412914,3.12844874448236
4.94629914875623,5.15630193810434,3.75956036349419,3.71915076006972,3.23438934354391,3.15516626519504,-1.18317938941584,-1.02417515944669,-1.60107760203924,-0.395408721546733,-2,-1.80858200099243
-1.25012618509598,-1.15062154729795,-0.693772882586139,-2,-2,-2,-1.24989756855063,-1.55020202908335,-2,-2,-2,-2
-0.655598058983986,-2,-1.28666441011534,-1.33321389945111,-0.952446479228534,-1.41120994590878,-1.34624833448688,-2,-2,-2,-2,-2
10.1029852335246,10.6925498378877,10.5445633804407,10.5751979875221,10.0939020739397,9.79136509017633,10.5091634532759,10.6807833929462,10.3017049607331,9.25705542825568,7.71403888156179,8.20143618674325
6.21042458745712,5.90840860091322,6.18475846123403,5.74061899670186,6.00208194953494,5.99873474168214,4.51053625481128,4.9148648171637,4.80785638583812,4.70742088480514,1.5103155032084,1.40829192624589
2.85456743710967,3.43633296199516,3.7929785665243,3.90844203376138,3.91234403185512,3.86894140637889,3.9660801801168,4.03837478404807,3.89826614249097,3.69414053167751,2.74301091215016,2.09381999719567
