ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
60	130	0	0	0.000000	1.061538	1.061538	0.000000	0.000000	0	0	0
61	130	0	0	0.000000	1.430769	1.430769	0.000000	0.000000	0	0	0
62	130	0	0	0.000000	1.292308	1.292308	0.000000	0.000000	0	0	0
63	251	0	0	0.000000	1.386454	1.386454	0.000000	0.000000	0	0	0
64	238	0	0	0.000000	1.092437	1.092437	0.000000	0.000000	0	0	0
65	130	0	0	0.000000	1.161538	1.161538	0.000000	0.000000	0	0	0
66	323	0	0	0.000000	1.207430	1.207430	0.000000	0.000000	0	0	0
67	224	0	0	0.000000	1.178571	1.178571	0.000000	0.000000	0	0	0
68	130	0	0	0.000000	1.915385	1.915385	0.000000	0.000000	0	0	0
69	248	0	0	0.000000	1.048387	1.048387	0.000000	0.000000	0	0	0
70	211	0	0	0.000000	1.232227	1.232227	0.000000	0.000000	0	0	0
71	130	0	0	0.000000	1.753846	1.753846	0.000000	0.000000	0	0	0
72	114	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
73	164	0	0	0.000000	1.640244	1.512195	0.000000	0.000000	0	0	0
74	260	0	0	0.000000	1.500000	1.500000	0.000000	0.000000	0	0	0
75	130	0	0	0.000000	1.453846	1.453846	0.000000	0.000000	0	0	0
76	219	0	0	0.000000	1.228311	1.228311	0.000000	0.000000	0	0	0
77	170	0	0	0.000000	2.794118	2.794118	0.000000	0.000000	0	0	0
78	311	0	0	0.000000	1.672026	1.672026	0.000000	0.000000	0	0	0
79	130	0	0	0.000000	2.392308	2.230769	0.000000	0.000000	0	0	0
80	132	0	0	0.000000	1.969697	1.757576	0.000000	0.000000	0	0	0
81	117	0	0	0.000000	1.350427	1.350427	0.000000	0.000000	0	0	0
82	108	2	0	0.000000	1.055556	1.055556	0.000000	0.000000	0	0	0
83	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
84	133	0	2	0.000000	2.278195	2.278195	0.000000	0.000000	0	0	0
85	109	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
86	130	0	0	0.000000	1.023077	1.023077	0.000000	0.000000	0	0	0
87	130	0	0	0.000000	1.384615	1.384615	0.000000	0.000000	0	0	0
88	178	0	0	0.000000	2.039326	2.039326	0.000000	0.000000	0	0	0
89	226	0	0	0.000000	1.725664	1.725664	0.000000	0.000000	0	0	0
90	313	0	0	0.000000	1.661342	1.661342	0.000000	0.000000	0	0	0
91	130	0	0	0.000000	1.307692	1.307692	0.000000	0.000000	0	0	0
92	217	0	0	0.000000	1.566820	1.566820	0.000000	0.000000	0	0	0
93	199	0	0	0.000000	1.306533	1.306533	0.000000	0.000000	0	0	0
94	179	0	0	0.000000	1.452514	1.452514	0.000000	0.000000	0	0	0
95	130	0	0	0.000000	1.661538	1.500000	0.000000	0.000000	0	0	0
96	142	0	0	0.000000	1.887324	1.887324	0.000000	0.000000	0	0	0
97	130	0	0	0.000000	1.976923	1.976923	0.000000	0.000000	0	0	0
98	130	0	0	0.000000	2.630769	2.630769	0.000000	0.000000	0	0	0
99	130	0	0	0.000000	1.861538	1.861538	0.000000	0.000000	0	0	0
100	130	0	0	0.000000	1.315385	1.315385	0.000000	0.000000	0	0	0
101	130	0	0	0.000000	1.907692	1.907692	0.000000	0.000000	0	0	0
102	139	0	0	0.000000	2.532374	2.381295	0.000000	0.000000	0	0	0
103	130	0	0	0.000000	1.776923	1.776923	0.000000	0.000000	0	0	0
104	56	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
105	176	0	0	0.000000	1.437500	1.437500	0.000000	0.000000	0	0	0
